Title,Posted,Hourly,Intermediate,Est. Time,Description,Skills
Language Tutors/Instructors Needed for AI Teaching Tool Testing,Posted 1 hour ago,Hourly: $10.00 - $20.00,Expert,"Est. time:
     Less than 1 month, Less than 30 hrs/week","We are actively seeking experienced German, English, and Spanish language tutors/instructors to collaborate with us in testing and providing valuable feedback for our AI language teaching tool. As we refine and enhance our tool/platform, your expertise will play a crucial role in shaping its effectiveness and user-friendliness. If you are passionate about language education and eager to be part of the future of AI-driven teaching, we invite you to join us on this exciting journey.","['Fluent', 'Near-Native Fluency', 'English to German Translation', 'General Transcription', 'English to Spanish Translation', 'Translation', 'German', 'English', 'Proofreading', 'Documentation', '+5']"
Resume parcer software tool required,Posted 1 hour ago,Fixed price,Expert,N/A,"Hello All,

I have more than 1 lack resume in word, pdf

I wanted to convert information from word and pdf into table format (in MySQL).

The nformation to get parcer or extracted from pdf, word are

Name
Number
Email id
City, state, country
Skills, skills2, skills3........
Designation 

I wanted to make a software or a tool for the above.

Please let us know if you have any past experiences into the same?

Or if you can make this?

And how much would be the qoute and turn around time to complete the task.


Regards","['Machine Learning', 'Python', 'Data Extraction', 'Data Mining', 'Data Scraping', 'Artificial Intelligence', 'Data Science', 'Image Processing', '+1']"
AI/ML Expert for Deep Learning Codes,Posted 2 hours ago,Fixed price,Expert,N/A,"We are seeking an AI/ML expert with a strong background in Deep Learning and experience using Pytorch, Pytorch-Lightning, and other frameworks. The ideal candidate will have a proven track record of developing efficient and scalable AI models and algorithms. The primary responsibilities include writing and optimizing Deep Learning codes, implementing cutting-edge AI/ML solutions, and ensuring the models meet the desired performance metrics.

Skills needed:
- AI/ML
- Deep Learning
- Pytorch
- Pytorch-Lightning
- Frameworks for Deep Learning","['Machine Learning', 'Deep Learning', 'TensorFlow', 'Neural Network', 'Artificial Intelligence']"
Sharp developer to work with data and statistics,Posted 2 hours ago,Hourly: $20.00 - $50.00,Intermediate,"Est. time:
     3 to 6 months, 30+ hrs/week","Our beloved product manager & jack-of-all-trades is leaving us, and we need to replace him (with probably 2-3 people). 

The first person to step into his shoes will be a technically oriented data / software person who is fast, chill, can work magic with statistics and has a great work ethic. 

Who are we? 

We are Autonomy Software, developing Overlay Protocol (http://overlay.market), an up-and-coming blockchain protocol offering exotic futures product on Arbitrum. We are launching imminently, and need someone who really wants to work, is quick to learn, is hungry and ambitious. 

This is the job for you if you are extremely sharp, diligent, and want to contribute to a blockchain protocol that is just about to launch and could moon right after you join. We will start on a freelance basis, but if you are a good fit we can hire you full time and there is literally no ceiling to your growth in the position. 


Key Responsibilities:

-Develop and maintain Python applications with frameworks such as Web3py, Brownie (💀), ApeWorx
-Seek out, analyze and interpret data sets related to blockchain, DeFi markets, and any kind of data in general, using basic statistical methods, probability theory, machine learning, etc.
-Stay updated with the latest trends and developments in the DeFi space, especially pertaining to perpetuals protocols
-Collaborate with development team to integrate new features and improvements


Required Knowledge/Skills/Experience:

-Python expertise is a must. You must be a sharp and fast coder. 
-Blockchain experience. Knowledge of perpetuals, L1 and L2s, various perp protocols, etc. Know what private keys and transactions are. 
-Significant familiarity with all stages of data analysis, from APIs to BigQuery, data cleaning and munging, all things Pandas, etc.  
-Knowledge of various statistical tests like ADF, KPSS, variance stationarity, Hurst exponent... 
-Friendly, chill vibe, plays well with others. 

Good to haves:

-Contacts in the blockchain space. 
-Knowledge of SQL and familiarity with Dune analytics
-Knowledge of GARCH.
-Product management experience","['Statistical Analysis', 'Statistics', 'Python', 'Data Science', 'Blockchain']"
ChatGPT Development,Posted 2 hours ago,Hourly: $20.00 - $40.00,Intermediate,"Est. time:
     1 to 3 months, Less than 30 hrs/week","We are looking for a skilled developer to assist us in the development of a ChatGPT system. The main goal of this project is to create a conversational AI model capable of engaging in natural and meaningful interactions. The successful candidate will be responsible for implementing and training the model, as well as fine-tuning it to optimize performance. 

Candidates with the following skills will be preferred:
- Proficiency in natural language processing (NLP) and deep learning techniques
- Strong programming skills in Python and experience with machine learning frameworks such as TensorFlow or PyTorch
- Familiarity with chatbot development and conversational AI

This is a medium-sized project expected to be completed within 1 to 3 months. We prefer candidates with an intermediate expertise level or above, who have prior experience working on similar AI projects.","['Web Development', 'JavaScript', 'HTML', 'WordPress', 'PHP']"
Fine Tune AI model for Pet Portraits - need ability to accurately capture pets unique features,Posted 2 hours ago,Hourly: $5.00 - $17.00,Intermediate,"Est. time:
     Less than 1 month, Less than 30 hrs/week","Need to fine tune a diffusion model for pet portraits. 

need to be able to upload multiple photos of a pet and have the model replicate the pet with high accuracy in a new interesting portrait setting. 

here is an example of a website that does something similar:  

https://thepetpainting.com/","['Machine Learning', 'AI Development', 'Java', 'Python', 'Artificial Intelligence']"
Make inferences with computer vision model,Posted 2 hours ago,Hourly,Intermediate,"Est. time:
     Less than 1 month, Less than 30 hrs/week","Hello,

I am looking to make inferences with the models in this repository https://github.com/mahdi65/roadDamageDetection2020.

Your deliverable will be detailed instructions on how to do it in an EC2 instance in AWS.

Please provide your estimate to complete this job. I will not respond to cover letters without an estimate.","['Machine Learning', 'Python', 'Computer Vision']"
Django / Python - Twilio - Application Software Project - Aspiring Media Solutions,Posted 2 hours ago,Hourly: $6.00 - $9.00,Intermediate,"Est. time:
     More than 6 months, Less than 30 hrs/week","Django / Python Odoo - Working on Current Project - Awarding to the designer for application development and will be a full time position for a US based company 

We will be hiring for a FULL TIME developer and work.  The hours will be from 7:00 AM - 5:00 PM Central Time (Chicago) 

Responsibilities
•
Responsible for the navigation, organization and interaction design for leading-edge web solutions and applications building a call operations platform using Twilio 
•
Responsible for creating and maintaining the design system that all product design teams, engineers, and product managers use to design and develop products

You will have the opportunity to own the algorithms from research to productization as the driver of our core IP development and a key stakeholder in delivering value to our users.

Our engineering team is currently 10 strong - it’s a perfect time to join and be on the frontside of something amazing.

Core Qualifications

Proven experience in algorithm software development and innovations in the fields of optimization (e.g., vehicle routing, robot motion planning, combinatorial optimization), operations research, machine learning or computational geometry
Practical programming experience in Golang and/or C#
Proven end-to-end algorithms ownership including productization
R&D experience in applied algorithm software development
Knowledge of algorithm development in GIS or related fields
Knowledge of agile software development and testing practices
Solid math skills including a background in linear algebra, geometric algorithms and numerical methods

Note: Background in machine learning is great as long as the candidate has a holistic understanding and experience with algorithms. Our focus is on optimization algorithms with machine learning as a tool.

Nice to Haves

We’ll help train you on these or get the necessary learning resources

Geo/GIS/QGIS
PostgreSQL/PostGIS
Python, C++
GitHub/Git, Jira
AgTech
About You

What you bring

MSc in Computer Science / Mathematics / Engineering or related discipline or a BSc with related experience
2+ years work experience in SaaS based product development
High degree of professional ethics and integrity
Sound judgment and ability to analyze situations and information
What makes you stand out

Team player with exceptional communication skills (verbal and written)
Committed to seeing tasks through to completion
Track record of effectively collaborating with remote teams
Energetic, creative, and self-motivated
A growth mindset and desire to continuously improve

This a full time position - 40 hours per week and steady employment","['Django', 'Python', 'Odoo', 'Odoo Development', 'Web Design', 'Web Development', 'Odoo Administration']"
"Senior Machine Learning Engineer, Supply Chain Logistics",Posted 2 hours ago,Hourly: $32.00 - $70.00,Expert,"Est. time:
     1 to 3 months, Less than 30 hrs/week","Senior Machine Learning Engineer, Supply Chain Logistics

At DATOSBI we are expanding our data analysis team in Logistics and Supply Chain to work on 100% remote projects. 
For this role we require that you have advanced experience in developing artificial intelligence and machine learning projects in Python, TensorFlow, PyTorch, scikit-learn, among others.

Responsibilities:
• Implement data models and algorithms to enable prediction, optimization and simulation in Supply Chain and Logistics projects.
• Aggregate and structure raw data into machine learning models to optimize inventory management, supply chain efficiency, market growth.
• Develop all stages of advanced analytics, from exploring and combining data to building predictive data models and gaining insights and implementation.
• Ensure consistency by supporting the use of relevant development techniques, digital frameworks and best practices.
• Collaborate and communicate with team members to understand the needs and requirements of stakeholders and devise possible solutions.
• Possess excellent verbal and written communication skills, with the ability to present technical results in a clear and concise manner.

Requirements:
We require that you have immediate availability.
- Intermediate - advanced English (essential)

Join our team and be part of innovative projects! If you are interested in this opportunity, send us your CV and sample of projects.

We hope to meet you soon!","['Machine Learning', 'Python', 'Supply Chain Management', 'Artificial Intelligence', 'Supply Chain Modeling', 'Logistics Management', 'Data Analysis', 'Inventory Management', 'Data Science', 'TensorFlow', '+5']"
Find and deploy a machine learning (ML) model,Posted 2 hours ago,Fixed price,Intermediate,N/A,"The goal of this project is to research and implement a machine learning (ML) model capable of changing hairstyles in portrait photos. The selected model should be efficient, accurate, and capable of handling diversehair types. Additionally, the model will be hosted on replicate.com for easy accessibility and deployment.

Tasks:

1. Identify existing ML models and techniques for hairstyle transformation in portrait photos.

2. Shortlist potential ML models based on their performance, versatility, and compatibility with the project requirements.

3. Develop a prototype using the chosen ML model for hairstyle transformation.

4. Ensure the model is capable of processing portrait photos and producing realistic transformations.

5. Validate the model against a diverse set of portrait photos with varying hairstyles.

6. Set up an account on replicate.com for model hosting. Package the trained model and associated files for deployment on replicate.com, so that our mobile app can call it as API. Ensure proper documentation.

7. Final output should be completed within 10 seconds, not low quality (same sharpness, details as the input image).

Timeline:
Total timeline: 2 weeks.

Budget:
The budget is fixed $100. We will allocate more time/budget once we finish this initial phase of the project.","['Machine Learning', 'Deep Learning', 'Python Scikit-Learn', 'Python', 'TensorFlow', 'Data Science', 'Keras']"
Hyperparameter tuning and Feature Engineering for the existence  time series forecasting models,Posted 2 hours ago,Fixed price,Intermediate,N/A,I would like to do modification of existence Neuralprophet and XGboost multivariate time series forecasting model to get better performance,"['Machine Learning', 'Deep Learning', 'Python', 'Data Science', 'Neural Network', 'Data Analysis']"
CRNN Time-Series Image Tutoring: Config & Loss Function,Posted 2 hours ago,Fixed price,Intermediate,N/A,"The project involves enhancing my Convolutional Recurrent Neural Network (CRNN, already written) used for analyzing a sequence of images representing processes over time. Objectives include:

1) developing a clear graphical representation of the CRNN architecture

2) integrating an effective loss function for improved model accuracy

3) configuring node settings optimally for performance. 

Assistance is sought not just for implementation but also for educational guidance to ensure understanding and capability in independently managing and adjusting the CRNN framework for time-series image analysis.

Expected deliverables: My final product should have a detailed graphics of the CRNN architecture, a custom loss function implementation, and optimized node settings

Required skills: Proficiency in CRNNs, Python programming, deep learning frameworks, and educational mentorship. I set it up on my local system and am trying to migrate to Google colab, but, haven't gotten conda to work on Colab just yet.

Communication: I preferred video calls with shared screens and messaging for updates or setting meetings.

Working style: I think that I want to achieve one goal per week or quicker. The key take away is that it is explained well and I can then create the product on my own the next time I need it.","['Machine Learning', 'Deep Learning', 'Python', 'TensorFlow']"
Call Center Modeling,Posted 3 hours ago,Hourly,Intermediate,"Est. time:
     Less than 1 month, Less than 30 hrs/week","This notebook examines modeling a call center. Key Performance Parameters
The call center shall be able to handle on average at least 2 calls per minute.
The call center shall maintain a customer satisfaction score of greater than 5
A customer shall have no more than a 1% chance of the hold lines being full.
A customer shall have no more than a 1 min average hold time.
The call center shall have an availability greater than 0.999
The call center shall average maintenance cost per call shall be less than $0.015 
The purpose of this notebook is to use modeling and simulation to define the following derived system requirements. Each system requirement is mapped back to a KPP.
System Requirements:
-The call center shall have TBD inbound call hold lines.
-The call center shall have TBD agents (servers). 
Assumption: A phone call takes on an average 10 mins.

I have gotten stuck once I get to the performance model in lines ~79-80. What would it take to complete the workbook?","['Machine Learning', 'Deep Learning Framework', 'OpenCV', 'Computer Vision', 'TensorFlow', 'Python', 'MATLAB', 'Digital Signal Processing', 'Electrical Engineering', 'Python Script', 'LabVIEW', 'Circuit Design', 'Microcontroller Programming', 'Algorithm Development', '+7']"
"Skilled Python Dev for Automation, Data Cleaning, OpenAI API for analysis",Posted 3 hours ago,Hourly: $20.00 - $40.00,Intermediate,"Est. time:
     3 to 6 months, 30+ hrs/week","We have a wide variety of Python automation tasks that gather data via scraping (or other sources), process that data, prepare for entry and load. Some additional scripts perform a variety of QA tasks for a broad data set.

We're looking for a seasoned Python developer to help us design a new project that will use OpenAI's API (or another LLM's API) to analyze loosely structured legal documents, break them into sections, pull out key data points, rename the documents according to certain criteria, and move those new documents or data extracts into locations in our directory structure for human review, and human processing.

This AI automation pipeline will grow to hopefully cover more and more of the manual parts of the process.

In addition to this project, we would benefit from your experience architecting and organizing our existing large Python Automation sets of scripts.

Let us know if you're interested!

Lastly, some non-programming criteria: you have a working video camera for our first call, you are the developer we would work with and not a sales person who will find the developer after our first conversation. Thanks!","['Data Scraping', 'Business Process Automation', 'Data Extraction', 'Python', 'Software Design Pattern', 'Data Analysis', 'Automation', '+1']"
Research Article,Posted 3 hours ago,Hourly,Intermediate,"Est. time:
     Less than 1 month, Less than 30 hrs/week","Aslaam.0.Alaikum
how r u?
Can u Write a Research Article for me?
Domain: Computer Science (Data Science And Machine Learning)

Muhammad Bilawal A.","['Academic Proofreading', 'Research Papers', 'Formatting', 'Proofreading', 'Academic Writing', 'Academic Research', 'Editing & Proofreading', 'Essay Writing', 'Content Writing', 'Academic Editing', 'Business Writing', 'Literature Review', 'APA Formatting', 'Dissertation Writing', 'Dissertation', '+9']"
Prompt Engineer AI,Posted 3 hours ago,Hourly,Intermediate,"Est. time:
     1 to 3 months, Less than 30 hrs/week","Looking for a prompt engineer to help me with a prompt to ""rewrite content in a humanized way"" of 250 pages.

Objective:
1. Rewrite a 250 page content
2. content already available
3. Need a prompt that can help in writing in a ""humanzied"" way with hints of fun, witty as well as professional.
4. A prompt that can help with ""long text"" with possibility of extending ""token limit"" and maxium use of token limit.
5. Less stressful to ""review"" every rewrite or some way to ensure no content is lost.
6. Prompt should also include a capability to generate “charts+infographics etc.” to the content.","['Machine Learning', 'Artificial Intelligence', 'Artificial Neural Network']"
Seeking Technical Data Content Marketer to Write Interesting Articles about Parking Tickets,Posted 3 hours ago,Hourly: $15.00 - $25.00,Expert,"Est. time:
     More than 6 months, 30+ hrs/week","**Background**
I run a website to pay NYC parking tickets.I want to improve my organic search / traffic by writing original, high quality, data-driven content from orginal research.

**About You**
- You love analyzing data and coming up with unique perspectives
- You are a master at writing compelling content and/or creating infographics that make the data easy to understand and compelling


**How:**
NYC provides an API with unique data about parking tickets trends.  I'm seeking to hire an  amazing data scientists + writer to analyze data sets and then writing compelling, viral content given that data.

https://data.cityofnewyork.us/City-Government/Open-Parking-and-Camera-Violations/nc67-uf89

**Some learnings:**
* ~30% of all nyc parking tickets are for red light cameras
* The avg NYC Parker gets 3-7x tickets a year

**Examples of similar content:**
- https://www.spotangels.com/blog/nyc-parking-tickets-where-youre-likely-to-get-one-and-how-spotangels-can-pay-for-it/
- https://www.timeout.com/newyork/news/youre-most-likely-to-get-a-ticket-in-these-nyc-neighborhoods-112321

https://www.topviewnyc.com/packages/how-much-25-major-cities-make-in-parking-ticket-revenue-per-capita","['Knowledge Graph', 'Writing', 'SEO Content', 'Data Science', 'Data Analysis', 'Infographic']"
